image1;image2;similar;elapsed
tests/img/img-001.jpeg;tests/img/img-001.jpeg;0;0.65
tests/img/img-001.jpeg;tests/img/img-002.png;0;0.64
tests/img/img-001.jpeg;tests/img/img-003.gif;0;0.49
tests/img/img-001.jpeg;tests/img/img-004.jpeg;0.67;0.43
tests/img/img-001.jpeg;tests/img/img-005.png;0.67;0.44
tests/img/img-001.jpeg;tests/img/img-006.gif;0.67;0.46
tests/img/img-001.jpeg;tests/img/img-007.jpeg;0.81;0.45
tests/img/img-001.jpeg;tests/img/img-008.png;0.81;0.44
tests/img/img-001.jpeg;tests/img/img-009.gif;0.81;0.44
tests/img/img-001.jpeg;tests/img/img-010.jpg;0.85;0.53
tests/img/img-001.jpeg;tests/img/img-011.jpg;0.73;0.52
tests/img/img-001.jpeg;tests/img/img-012.jpg;0.79;0.53
tests/img/img-001.jpeg;tests/img/img-013.jpg;0.83;0.51
tests/img/img-002.png;tests/img/img-001.jpeg;0;0.46
tests/img/img-002.png;tests/img/img-002.png;0;0.46
tests/img/img-002.png;tests/img/img-003.gif;0;0.47
tests/img/img-002.png;tests/img/img-004.jpeg;0.67;0.46
tests/img/img-002.png;tests/img/img-005.png;0.67;0.45
tests/img/img-002.png;tests/img/img-006.gif;0.67;0.45
tests/img/img-002.png;tests/img/img-007.jpeg;0.81;0.44
tests/img/img-002.png;tests/img/img-008.png;0.81;0.45
tests/img/img-002.png;tests/img/img-009.gif;0.81;0.43
tests/img/img-002.png;tests/img/img-010.jpg;0.85;0.46
tests/img/img-002.png;tests/img/img-011.jpg;0.73;0.46
tests/img/img-002.png;tests/img/img-012.jpg;0.79;0.48
tests/img/img-002.png;tests/img/img-013.jpg;0.83;0.48
tests/img/img-003.gif;tests/img/img-001.jpeg;0;0.47
tests/img/img-003.gif;tests/img/img-002.png;0;0.46
tests/img/img-003.gif;tests/img/img-003.gif;0;0.47
tests/img/img-003.gif;tests/img/img-004.jpeg;0.68;0.44
tests/img/img-003.gif;tests/img/img-005.png;0.68;0.46
tests/img/img-003.gif;tests/img/img-006.gif;0.68;0.45
tests/img/img-003.gif;tests/img/img-007.jpeg;0.81;0.45
tests/img/img-003.gif;tests/img/img-008.png;0.81;0.46
tests/img/img-003.gif;tests/img/img-009.gif;0.81;0.45
tests/img/img-003.gif;tests/img/img-010.jpg;0.85;0.46
tests/img/img-003.gif;tests/img/img-011.jpg;0.73;0.47
tests/img/img-003.gif;tests/img/img-012.jpg;0.79;0.47
tests/img/img-003.gif;tests/img/img-013.jpg;0.83;0.47
tests/img/img-004.jpeg;tests/img/img-001.jpeg;0.67;0.44
tests/img/img-004.jpeg;tests/img/img-002.png;0.67;0.46
tests/img/img-004.jpeg;tests/img/img-003.gif;0.68;0.46
tests/img/img-004.jpeg;tests/img/img-004.jpeg;0;0.44
tests/img/img-004.jpeg;tests/img/img-005.png;0;0.42
tests/img/img-004.jpeg;tests/img/img-006.gif;0;0.44
tests/img/img-004.jpeg;tests/img/img-007.jpeg;0.73;0.42
tests/img/img-004.jpeg;tests/img/img-008.png;0.73;0.43
tests/img/img-004.jpeg;tests/img/img-009.gif;0.73;0.44
tests/img/img-004.jpeg;tests/img/img-010.jpg;0.81;0.43
tests/img/img-004.jpeg;tests/img/img-011.jpg;0.77;0.48
tests/img/img-004.jpeg;tests/img/img-012.jpg;0.73;0.44
tests/img/img-004.jpeg;tests/img/img-013.jpg;0.8;0.48
tests/img/img-005.png;tests/img/img-001.jpeg;0.67;0.47
tests/img/img-005.png;tests/img/img-002.png;0.67;0.5
tests/img/img-005.png;tests/img/img-003.gif;0.68;0.45
tests/img/img-005.png;tests/img/img-004.jpeg;0;0.43
tests/img/img-005.png;tests/img/img-005.png;0;0.44
tests/img/img-005.png;tests/img/img-006.gif;0;0.45
tests/img/img-005.png;tests/img/img-007.jpeg;0.73;0.44
tests/img/img-005.png;tests/img/img-008.png;0.73;0.43
tests/img/img-005.png;tests/img/img-009.gif;0.73;0.44
tests/img/img-005.png;tests/img/img-010.jpg;0.81;0.44
tests/img/img-005.png;tests/img/img-011.jpg;0.77;0.45
tests/img/img-005.png;tests/img/img-012.jpg;0.73;0.44
tests/img/img-005.png;tests/img/img-013.jpg;0.8;0.47
tests/img/img-006.gif;tests/img/img-001.jpeg;0.67;0.46
tests/img/img-006.gif;tests/img/img-002.png;0.67;0.47
tests/img/img-006.gif;tests/img/img-003.gif;0.68;0.46
tests/img/img-006.gif;tests/img/img-004.jpeg;0;0.44
tests/img/img-006.gif;tests/img/img-005.png;0;0.44
tests/img/img-006.gif;tests/img/img-006.gif;0;0.44
tests/img/img-006.gif;tests/img/img-007.jpeg;0.73;0.45
tests/img/img-006.gif;tests/img/img-008.png;0.73;0.43
tests/img/img-006.gif;tests/img/img-009.gif;0.73;0.43
tests/img/img-006.gif;tests/img/img-010.jpg;0.81;0.46
tests/img/img-006.gif;tests/img/img-011.jpg;0.77;0.45
tests/img/img-006.gif;tests/img/img-012.jpg;0.73;0.47
tests/img/img-006.gif;tests/img/img-013.jpg;0.8;0.47
tests/img/img-007.jpeg;tests/img/img-001.jpeg;0.81;0.48
tests/img/img-007.jpeg;tests/img/img-002.png;0.81;0.48
tests/img/img-007.jpeg;tests/img/img-003.gif;0.81;0.5
tests/img/img-007.jpeg;tests/img/img-004.jpeg;0.73;0.44
tests/img/img-007.jpeg;tests/img/img-005.png;0.73;0.45
tests/img/img-007.jpeg;tests/img/img-006.gif;0.73;0.46
tests/img/img-007.jpeg;tests/img/img-007.jpeg;0;0.47
tests/img/img-007.jpeg;tests/img/img-008.png;0;0.46
tests/img/img-007.jpeg;tests/img/img-009.gif;0;0.54
tests/img/img-007.jpeg;tests/img/img-010.jpg;0.91;0.47
tests/img/img-007.jpeg;tests/img/img-011.jpg;0.84;0.47
tests/img/img-007.jpeg;tests/img/img-012.jpg;0.79;0.47
tests/img/img-007.jpeg;tests/img/img-013.jpg;0.88;0.46
tests/img/img-008.png;tests/img/img-001.jpeg;0.81;0.48
tests/img/img-008.png;tests/img/img-002.png;0.81;0.49
tests/img/img-008.png;tests/img/img-003.gif;0.81;0.49
tests/img/img-008.png;tests/img/img-004.jpeg;0.73;0.46
tests/img/img-008.png;tests/img/img-005.png;0.73;0.46
tests/img/img-008.png;tests/img/img-006.gif;0.73;0.45
tests/img/img-008.png;tests/img/img-007.jpeg;0;0.48
tests/img/img-008.png;tests/img/img-008.png;0;0.46
tests/img/img-008.png;tests/img/img-009.gif;0;0.46
tests/img/img-008.png;tests/img/img-010.jpg;0.91;0.5
tests/img/img-008.png;tests/img/img-011.jpg;0.84;0.47
tests/img/img-008.png;tests/img/img-012.jpg;0.79;0.48
tests/img/img-008.png;tests/img/img-013.jpg;0.88;0.49
tests/img/img-009.gif;tests/img/img-001.jpeg;0.81;0.49
tests/img/img-009.gif;tests/img/img-002.png;0.81;0.5
tests/img/img-009.gif;tests/img/img-003.gif;0.81;0.5
tests/img/img-009.gif;tests/img/img-004.jpeg;0.73;0.46
tests/img/img-009.gif;tests/img/img-005.png;0.73;0.48
tests/img/img-009.gif;tests/img/img-006.gif;0.73;0.47
tests/img/img-009.gif;tests/img/img-007.jpeg;0;0.47
tests/img/img-009.gif;tests/img/img-008.png;0;0.56
tests/img/img-009.gif;tests/img/img-009.gif;0;0.51
tests/img/img-009.gif;tests/img/img-010.jpg;0.91;0.52
tests/img/img-009.gif;tests/img/img-011.jpg;0.84;0.52
tests/img/img-009.gif;tests/img/img-012.jpg;0.79;0.54
tests/img/img-009.gif;tests/img/img-013.jpg;0.88;0.67
tests/img/img-010.jpg;tests/img/img-001.jpeg;0.85;0.61
tests/img/img-010.jpg;tests/img/img-002.png;0.85;0.86
tests/img/img-010.jpg;tests/img/img-003.gif;0.85;0.85
tests/img/img-010.jpg;tests/img/img-004.jpeg;0.81;0.71
tests/img/img-010.jpg;tests/img/img-005.png;0.81;0.64
tests/img/img-010.jpg;tests/img/img-006.gif;0.81;0.53
tests/img/img-010.jpg;tests/img/img-007.jpeg;0.91;0.53
tests/img/img-010.jpg;tests/img/img-008.png;0.91;0.56
tests/img/img-010.jpg;tests/img/img-009.gif;0.91;0.63
tests/img/img-010.jpg;tests/img/img-010.jpg;0;0.71
tests/img/img-010.jpg;tests/img/img-011.jpg;0.5;0.57
tests/img/img-010.jpg;tests/img/img-012.jpg;0.87;0.68
tests/img/img-010.jpg;tests/img/img-013.jpg;0.83;0.53
tests/img/img-011.jpg;tests/img/img-001.jpeg;0.73;0.54
tests/img/img-011.jpg;tests/img/img-002.png;0.73;0.53
tests/img/img-011.jpg;tests/img/img-003.gif;0.73;0.57
tests/img/img-011.jpg;tests/img/img-004.jpeg;0.77;0.52
tests/img/img-011.jpg;tests/img/img-005.png;0.77;0.5
tests/img/img-011.jpg;tests/img/img-006.gif;0.77;0.49
tests/img/img-011.jpg;tests/img/img-007.jpeg;0.84;0.52
tests/img/img-011.jpg;tests/img/img-008.png;0.84;0.51
tests/img/img-011.jpg;tests/img/img-009.gif;0.84;0.53
tests/img/img-011.jpg;tests/img/img-010.jpg;0.5;0.53
tests/img/img-011.jpg;tests/img/img-011.jpg;0;0.52
tests/img/img-011.jpg;tests/img/img-012.jpg;0.83;0.52
tests/img/img-011.jpg;tests/img/img-013.jpg;0.85;0.53
tests/img/img-012.jpg;tests/img/img-001.jpeg;0.79;0.63
tests/img/img-012.jpg;tests/img/img-002.png;0.79;0.67
tests/img/img-012.jpg;tests/img/img-003.gif;0.79;0.57
tests/img/img-012.jpg;tests/img/img-004.jpeg;0.73;0.55
tests/img/img-012.jpg;tests/img/img-005.png;0.73;0.56
tests/img/img-012.jpg;tests/img/img-006.gif;0.73;0.53
tests/img/img-012.jpg;tests/img/img-007.jpeg;0.79;0.61
tests/img/img-012.jpg;tests/img/img-008.png;0.79;0.62
tests/img/img-012.jpg;tests/img/img-009.gif;0.79;0.64
tests/img/img-012.jpg;tests/img/img-010.jpg;0.87;0.57
tests/img/img-012.jpg;tests/img/img-011.jpg;0.83;0.53
tests/img/img-012.jpg;tests/img/img-012.jpg;0;0.83
tests/img/img-012.jpg;tests/img/img-013.jpg;0.8;0.73
tests/img/img-013.jpg;tests/img/img-001.jpeg;0.83;0.61
tests/img/img-013.jpg;tests/img/img-002.png;0.83;0.61
tests/img/img-013.jpg;tests/img/img-003.gif;0.83;0.6
tests/img/img-013.jpg;tests/img/img-004.jpeg;0.8;0.59
tests/img/img-013.jpg;tests/img/img-005.png;0.8;0.62
tests/img/img-013.jpg;tests/img/img-006.gif;0.8;0.54
tests/img/img-013.jpg;tests/img/img-007.jpeg;0.88;0.56
tests/img/img-013.jpg;tests/img/img-008.png;0.88;0.54
tests/img/img-013.jpg;tests/img/img-009.gif;0.88;0.54
tests/img/img-013.jpg;tests/img/img-010.jpg;0.83;0.54
tests/img/img-013.jpg;tests/img/img-011.jpg;0.85;0.55
tests/img/img-013.jpg;tests/img/img-012.jpg;0.8;0.58
tests/img/img-013.jpg;tests/img/img-013.jpg;0;0.54
